Location (ns?)	Amplitude (V)
 0.06419	1933.90000
 0.05988	1937.03333
 0.09704	1962.58000
 0.08244	1988.10000
 3.11667	1999.46998
 0.10984	2015.64815
 0.10428	2025.41724
 0.08515	2035.14000
 0.07825	2040.50000
 0.09290	2041.70870
 0.06910	2047.10000
 2.51500	2060.11034
 0.12511	2082.94138
 0.09367	2096.78571
 0.08510	2100.07143
 0.11241	2105.30690
 0.11432	2115.34762
 0.08028	2123.62308
 0.10030	2133.38966
 0.08703	2134.63333
 0.11783	2142.04286
 0.10090	2152.70870
 0.10836	2161.00909
 0.08970	2173.97826
 0.10728	2183.40400
 0.08948	2190.90000
 0.09491	2203.76667
 0.08527	2213.59412
 0.12306	2223.17059
 0.11681	2254.45385
 0.06136	2265.74444
 0.09583	2270.66842
 0.07588	2286.96667
 0.10548	2303.90000
 0.08778	2311.12222
 0.12052	2323.74828
 0.06211	2330.80000
 0.09832	2342.34762
 0.10401	2358.55000
 0.06850	2372.50000
 0.06159	2381.06000
 0.07422	2392.57368
 5.20554	2407.62032
 0.07175	2423.50000
 0.09652	2436.13077
 0.08388	2441.03333
 0.11353	2457.38571
 5.21699	2473.72400
 0.13212	10.01429
 0.08432	21.31538
 0.08432	22.68462
 0.12210	30.66667
 0.11988	44.78889
 0.14331	59.37200
 0.06255	69.10000
 0.14401	79.55000
 0.11840	89.16667
 4.89786	103.36104
 0.10526	117.88261
 0.12852	128.25172
 0.10050	144.50000
 0.09702	146.30000
 0.11376	158.42727
 0.12268	175.93333
 0.10788	189.03333
 0.13136	194.82444
 5.24361	208.67737
 0.12063	225.31538
 0.10594	235.04286
 0.09770	244.98000
 0.09147	248.10000
 0.11855	260.90000
 0.13265	273.10800
 5.27865	292.62367
 0.14991	303.51818
 0.12849	320.05000
 0.11751	330.44286
 0.13875	349.47419
 0.10474	357.10000
 0.10633	378.80000
 0.10147	386.30000
 0.12754	396.39091
 0.13075	407.47419
 0.06701	417.43333
 0.07246	420.45556
 0.12379	426.40857
 0.09605	436.65000
 0.11852	448.58889
 0.10800	456.50000
 0.12830	476.75000
 0.11397	486.13636
 0.12926	504.45152
 5.16189	517.76259
 0.13802	534.29535
 0.12556	547.67143
 0.09129	563.32222
 0.09129	565.67778
 0.14251	575.71622
 0.12388	592.28947
 0.12681	606.34000
 0.12244	616.90000
 0.11809	623.90000
 0.11248	633.99474
 5.32398	663.48144
 0.09521	674.84194
 0.11983	683.66842
 0.10143	698.30000
 0.10050	706.50000
 0.10727	708.41429
 0.08633	712.18000
 0.07833	715.82000
 0.10740	728.03333
 0.09702	743.42000
 0.09315	744.82308
 0.12030	757.15000
 0.11544	772.27600
 0.10707	774.70000
 0.09552	781.05556
 0.09675	783.55714
 5.11289	803.96485
 0.06794	813.86364
 0.09027	822.42381
 0.10837	829.96316
 0.08059	840.26000
 0.13415	849.30000
 0.10044	866.19231
 0.07712	873.14000
 0.11034	881.87143
 0.12446	896.13429
 0.09836	905.01111
 0.09750	911.50000
 0.11746	922.21765
 0.08089	940.30000
 0.10691	945.04286
 0.11154	953.60909
 0.10412	968.70000
 0.08490	977.86842
 5.18084	991.71095
 0.11000	1002.38421
 0.10022	1013.20000
 0.11704	1021.62000
 0.11425	1032.50000
 0.12400	1050.79474
 4.86607	1077.38377
 0.09673	1092.95000
 0.11566	1099.28182
 5.12117	1116.96124
 0.08643	1127.70000
 0.12249	1139.13333
 0.10446	1150.54444
 0.08575	1167.50000
 0.10350	1169.75600
 0.12225	1177.50000
 0.10927	1188.59412
 0.09098	1198.18000
 0.09044	1204.90000
 5.21588	1218.70200
 5.14962	1250.46096
 0.09165	1263.10000
 0.10230	1269.00000
 0.10225	1270.50000
 0.11353	1272.38571
 0.10740	1286.96667
 0.11852	1301.41111
 0.11818	1305.17407
 0.08278	1310.30000
 0.13950	1317.50000
 0.12953	1345.61429
 0.12607	1348.93636
 0.13503	1365.00476
 0.13912	1375.67143
 0.09827	1394.66000
 0.10076	1413.38571
 0.10922	1415.78421
 0.10256	1428.14000
 0.14362	1443.16667
 0.13572	1460.75455
 0.11725	1473.50000
 5.09925	1497.71775
 0.09819	1522.10000
